CommentText,Sentiment,Language,LangConf,HasEmoji,Translate,translated,index
Mr. Duterte.. magpahinga ka na please.. gayahin mo si president biden.. give way na kaagad kay Tramp..,Neutral,tl,0.17410357296466827,False,True,Mr. Duterte .. Get some rest please .. Imagine President Biden .. Give way to Tramp right away ..,698649
Sana nlng hindi na isasali ang bloger kung hindi niya kinohanan ng video yong pangyayari hindi natin alam kung ano talaga ang pangrarayi,Negative,tl,0.8910137414932251,False,True,Hopefully the bloger will not be included if he does not have a video of events we do not know what to do,683199
do ypkrae,Neutral,vi,0.6144452691078186,False,True,from ypkrae,294604
Mein API k barey mein hi search kr raha tha pichley 3 din se or ap ne Video hi bana di. Love From Pakistan,Positive,tr,0.11525625735521317,False,True,Mein api k barey mein hi search kr raha tha pichley 3 din se or ap ne video hi bana di. Love from Pakistan,22229
faut vraiment qu'il arrete la boiserie !!,Negative,fr,0.9950789213180542,False,True,He really has to stop the woodwork !!,636898
Go Go Good Job PBBM. No match yang Duterte sa talino ng mga Marcos,Positive,tl,0.5714713335037231,False,True,Go go good job pbbm. No match yang duterte in the brains of the marcos,613094
No she’s not 🙄😂😂😂,Negative,ru,0.5676145553588867,True,True,No she’s not 🙄😂😂😂,326959
Meron siguro bibili iran russia at nokor at pakistan at yong iba ayaw kc galit sa kanila,Neutral,tl,0.3054787516593933,False,True,There are probably Iran Russia and Nokor and Pakistan and others don't want to be angry with them,310451
Me,Neutral,pt,0.5657739639282227,False,True,Me,589293
രാഹുലിന്റെ അഭിപ്രായത്തോട് 100% യോജിക്കുന്നു👍🏻,Positive,ml,1.0000038146972656,True,True,100% agree to Rahul's comment,43317
Mahuhay ka attorney Vic Rodriguez may sarili kang paninindigan para sa taong bayan. Vote for senator Vic Rodriguez.,Positive,tl,0.29130256175994873,False,True,"Attorney Vic Rodriguez, you have a stand for the people. Vote for senator Vic Rodriguez.",891069
يا استاذ طوني لو برنامجك جريء استضيف من اصحاب الضمائر الحرة الي ايدن نضيفه,Negative,ar,0.9423352479934692,False,True,"Professor Tony, if your program is bold",981207
"La historia que empieza a narrar Eduardo ayuda a envolver al público para que después el de su propia opinión sobre las matemáticas y el público lo tome de manera positiva, además utiliza algo de humor para no hacerlo tedioso ni aburrido
excelente trabajo",Positive,es,0.9785172343254089,False,True,"The story that Eduardo begins to narrate helps to wrap the public so that then that of his own opinion about mathematics and the public takes it positively, he also uses some humor so as not to do it tedious or boring
Excellent job",716418
DO A FLIP,Neutral,ru,0.3514028787612915,False,True,DO A FLIP,60389
Oui mom,Neutral,fr,0.8610953688621521,False,True,Yes Mom,454758
THIS IS GAS,Positive,de,0.8087441325187683,False,True,THIS IS GAS,260517
❤😂 Hero ❤,Positive,bg,0.5841017365455627,True,True,❤😂 Hero ❤,426838
Fuck Nissan,Negative,de,0.2014075666666031,False,True,Fuck Nissan,425317
Putin THREATENED FINLAND. FINLAND HAD NEVER DONE ANY AGRESSION AGAINST RUSSIA.,Positive,ja,0.26546427607536316,False,True,Putin THREATENED FINLAND. FINLAND HAD NEVER DONE ANY AGRESSION AGAINST RUSSIA.,593482
Legend 2025,Neutral,de,0.08669773489236832,False,True,Legend 2025,484898
Aulas cria,Neutral,pt,0.7127384543418884,False,True,CREATE CLASSES,859824
в конце признался,Neutral,ru,0.9998719692230225,False,True,At the end he admitted,528813
"Concepción, sector laguna de los monos región del Bío-Bío Chile, conozco mi ciudad wey no mames.",Neutral,es,0.9342242479324341,False,True,"Concepción, Laguna de los Monos Region of the Bío-Bío Chile, I know my city wey no mames.",286512
Він ще й українську знає!!! Круто 👏👏👏👏👏👏👏,Positive,uk,0.9991033673286438,True,True,He also knows Ukrainian !!! Cool 👏👏👏👏👏👏👏,966974
❤❤❤❤,Positive,zh,0.5570206642150879,True,True,,871042
Jajajajajjajajajaj😂😂😂,Neutral,id,0.5183793902397156,True,True,Hahahahajajajaj😂😂😂,312939
Kitni.  Achhi he.  Bhai.,Positive,mt,0.14625972509384155,False,True,Kitni.  Achhi He.  Bhai.,756005
Nakabatak cguro si marcos nun nagpuputak sya sa media na fakenews,Negative,tl,0.34424924850463867,False,True,Marcos nun is able to teach him the media fakenews,670480
Es la poblacion de Uruguay,Neutral,es,0.6563466191291809,False,True,It is the population of Uruguay,988431
0:02 WHERE,Neutral,pl,0.45079755783081055,False,True,0:02 WHERE,917245
pinalakas nalang ng china. ang  loob. pero takot naman sa typhon missile nasa pilipinas . mas damihan pa ng missile pagbili,Negative,tl,0.8126290440559387,False,True,China has strengthened. The inside. But the typhon missile is afraid of the Philippines. MUCH MORE MISSILE PURCHASE,27499
Google adsense ka course koii dy du,Neutral,fr,0.1926630586385727,False,True,Google adsense ka course koii dy du,979383
രാഹുൽ ഈശ്വര് പറഞ്ഞത് 100 ശതമാനം ശരിയാണ്,Positive,ml,0.9999634623527527,False,True,Rahul Esherday 100% is true,936839
"NOW THAT'S THE DEFINITION OF A PERFECT FULL FLEDGED TUTORIAL IN LESS TIME.
THANK YOU",Positive,ja,0.22795912623405457,False,True,"NOW THAT'S THE DEFINITION OF A PERFECT FULL FLEDGED TUTORIAL IN LESS TIME.
THANK YOU",828104
ambergris,Neutral,ca,0.3441316485404968,False,True,ambergris,973499
Thank you GREG GUTFEILD AND GUESTS,Positive,de,0.35958021879196167,False,True,Thank you GREG GUTFEILD AND GUESTS,691082
R.I.P,Neutral,es,0.7328364849090576,False,True,R.I.P,940527
"ഇതിൽ മുസ്ലിമിനെ പഴിക്കുന്നതെന്തിന്😮.

തൊട്ടതിനും പിടിച്ചതിനും "" മുഖ്യമന്ത്രി രാജിവെക്കണം "" എന്ന് പറയും പോലെ....😂",Negative,ml,1.0000673532485962,True,True,"Why does this be blameless.

As the CM should resign as ...",677718
"Si la estructura es fresca tal vez se quede adherido , si tiene mucho tiempo me hubiese gustado un trabajito más profundo.",Neutral,es,0.9830756783485413,False,True,"If the structure is fresh, it may be attached, if I have liked a deeper job.",336257
Klarong klaro na,Neutral,eo,0.44146105647087097,False,True,Clearly already,808633
"E uma loa le Fono i le 5pm ua  maua le iuga..ua no can harmony..
Koe faapea mai loa Fiame...please i want a harmony..
O le ah se TALI MO IA?
Harmony or Unharmony?
Kiususus.",Negative,pt,0.18654698133468628,False,True,"The Council is over to 5pm receiving the end..u No Can Harmony ..
Koe says FAME ... Pleas in Want A Harmony ..
Is the AH A Answer for Him?
Harmony or Unharmony?
Kususus.",173601
Yo pensando que era la canción del chavo del ocho.,Neutral,es,0.8993105292320251,False,True,I thought it was the song of the Chavo del Ocho.,610214
How do you misspell salt,Negative,nl,0.30904099345207214,False,True,How do you misspell salt,149492
😢😂😅🐖,Neutral,zh,0.650610625743866,True,True,,804674
"سلام، لطفا آموزش فارسی اگه دارید معرفی کنید . برای خیلی ها سخته بتونن با زبان انگلیسی آموزش ببینن
مرسی",Neutral,fa,0.9978288412094116,False,True,"Hi, please introduce Persian tutorials if you have. It is hard for many to be taught in English
Thanks",409231
NEVER BREAK YOUR COOKIE FOR A MAN,Neutral,ja,0.5876240730285645,False,True,NEVER BREAK YOUR COOKIE FOR A MAN,543120
dinadamay pa ang relihiyon.g-g-,Negative,tl,0.8725094795227051,False,True,religion is still in pain.g-g-,772897
😂,Neutral,ru,0.7175134420394897,True,True,,1016035
"Quand tu penses au nombre de villa avec méga piscine remplie d'eau qui on brûler .... 😔

Je vais aller à ..L.A me.faire des c...lles en or avec des systèmes de pompe sur batterie ou thermique pour arroser la maison par intermitence en cas d'incendie avec l' eau de la piscine comme les systèmes qui arrose les champs en plus petit 😊

Je vais voir direct les assureurs.
Si vous n'avez.pas ce système ,vous n'êtes pas assurer 🤗 🎰🤑

Blague à part depuis le temps c'est fou qu'un truc basique ras des paquerettes comme ça ne soit pas généralisé dans des coins qui crame réguliérement...

Pas comme ci la villa de Will Smith n'avait pas brûler en 2018 et tant d'autre...

L'humain me fascine...
Espéront qu'on ne joue pas avec le feu de la même manière vis à vis de l'atmosphère....

Cette petite couche de rien qui nous protège juste ..c'est son prénom c'est ça ? 🤔 du vide intersidéral....",Neutral,fr,0.9983571767807007,True,True,"When you think about the number of villas with mega swimming pool filled with water that is burned .... 😔

I'm going to go to ..l.a me.faire des C ... lles en gold with pump systems on battery or thermal to water the house intermittently in the event of a fire with the pool water like the systems that sprinkles the fields in smaller

I will see the insurers directly.
If you do not have this system, you are not ensuring 🤗 🎰🤑

Joking aside since time is crazy that basic stuff ras of the paquerettes like it is not generalized in corners that seme regularly ...

Not like Will Smith's villa had not burn in 2018 and so many others ...

Human fascinates me ...
Will hope that we do not play with the fire in the same way towards the atmosphere ....

This little layer of nothing that just protects us .. is it his first name, right? 🤔 Intersideral vacuum ....",652857
DADA YOU ARE GRATE.FROM BANGLADESH.,Positive,ja,0.29027238488197327,False,True,DADA YOU ARE GRATE.FROM BANGLADESH.,1016747
That’s how it be,Neutral,de,0.5252770185470581,False,True,That’s how it be,371121
1:00:00. Interactúa con el usuario,Neutral,es,0.989237368106842,False,True,1:00:00. Interact with the user,647012
Wut,Neutral,de,0.5401880145072937,False,True,Wut,1019090
y node value kya cheej hai??,Neutral,es,0.3756878972053528,False,True,y node value kya cheej hai ??,980933
